fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
400.465629	294.039749	1248.158862	168.812744	154.447058	240.473108	130.471515
400.232872	293.848138	1248.653403	168.817602	154.399917	240.462065	130.462569
400.173443	293.785303	1249.200461	168.829954	154.352503	240.460258	130.462542
400.370554	293.507958	1249.514444	168.842307	154.305090	240.458450	130.462515
400.681609	293.466965	1249.591265	168.867264	154.267028	240.476183	130.474565
400.834242	293.382907	1249.642927	168.892221	154.228966	240.493917	130.486615
401.325783	293.010613	1249.945081	168.927363	154.211526	240.514454	130.497977
401.388656	292.536741	1250.150207	168.962505	154.194087	240.534992	130.509338
401.489818	291.265838	1250.973542	169.000738	154.206969	240.540070	130.515754
401.557282	289.904190	1251.694850	169.038971	154.219852	240.545148	130.522170
401.416610	288.350044	1252.453218	169.067724	154.249580	240.538327	130.529370
401.302583	286.835386	1253.249516	169.096476	154.279308	240.531506	130.536569
401.039021	286.014530	1253.474172	169.108134	154.293146	240.525198	130.545269
401.037079	285.288412	1253.793115	169.119792	154.306985	240.518889	130.553968
401.038287	285.668262	1253.638568	169.115886	154.277315	240.517489	130.560728
401.096230	285.972461	1253.429089	169.111979	154.247644	240.516088	130.567489
401.169098	287.124838	1252.863796	169.095457	154.171264	240.516155	130.562447
400.990037	288.319648	1252.302110	169.078935	154.094884	240.516222	130.557405
400.855410	289.776439	1251.587332	169.053504	154.003547	240.511470	130.521350
400.803540	291.252538	1250.850819	169.028073	153.912209	240.506718	130.485295
400.635128	292.240480	1250.261071	169.002520	153.842675	240.492939	130.413101
400.497100	293.137066	1249.587688	168.976967	153.773140	240.479160	130.340907
400.316364	293.308990	1249.454180	168.961717	153.732459	240.459493	130.263474
400.132391	293.495467	1249.343068	168.946467	153.691778	240.439825	130.186041
400.077103	292.970033	1249.518397	168.945180	153.668056	240.421792	130.137584
400.081916	292.580615	1249.862776	168.943893	153.644334	240.403758	130.089127
400.177762	291.829047	1250.353223	168.952535	153.626388	240.389662	130.069948
400.357194	291.127412	1250.925171	168.961177	153.608442	240.375566	130.050769
400.417759	290.303190	1251.431973	168.970207	153.589600	240.361605	130.043945
400.819313	289.509302	1251.935473	168.979236	153.570758	240.347645	130.037121
400.940233	289.179272	1252.097451	168.974710	153.549012	240.332258	130.033532
401.156776	288.808569	1252.208985	168.970184	153.527265	240.316870	130.029942
401.195154	289.066343	1251.805713	168.950715	153.505073	240.303317	130.027881
401.234756	289.379597	1251.484671	168.931246	153.482881	240.289765	130.025819
401.250129	289.549352	1251.172283	168.916803	153.462646	240.279146	130.021604
401.196722	289.758878	1250.881654	168.902360	153.442412	240.268527	130.017388
401.227165	289.369400	1251.219818	168.904995	153.424917	240.257281	130.007055
401.273443	288.931038	1251.551051	168.907630	153.407422	240.246036	129.996721
401.146821	288.391456	1251.987953	168.912694	153.395328	240.234534	129.986489
400.993568	287.810137	1252.388308	168.917759	153.383234	240.223031	129.976257
400.900832	287.880679	1252.284580	168.909956	153.378094	240.216169	129.977838
400.919876	287.957455	1252.191306	168.902153	153.372954	240.209306	129.979419
401.048643	288.242399	1251.878558	168.894724	153.373371	240.209943	129.996968
400.934435	288.534986	1251.549099	168.887295	153.373787	240.210579	130.014517
401.081809	288.193942	1251.725404	168.905808	153.381503	240.221280	130.042030
401.316935	287.864312	1251.865070	168.924321	153.389220	240.231982	130.069542
401.455304	286.967173	1252.464696	168.961955	153.409010	240.247698	130.089728
401.740340	286.183517	1253.180649	168.999589	153.428801	240.263414	130.109914
401.730014	285.350264	1253.491914	169.020970	153.460555	240.268648	130.106762
401.849628	284.734341	1254.015574	169.042352	153.492309	240.273882	130.103610
401.882507	284.492690	1253.949470	169.036287	153.526604	240.265792	130.084747
401.829196	284.262563	1253.893225	169.030222	153.560899	240.257701	130.065885
401.839737	284.434017	1253.708690	169.020893	153.582783	240.253498	130.052571
401.881620	284.598829	1253.501067	169.011564	153.604667	240.249294	130.039256
402.082395	285.068153	1253.188831	169.016537	153.604197	240.264068	130.041001
402.165374	285.577828	1252.911706	169.021510	153.603727	240.278843	130.042746
402.331470	286.566929	1252.296061	169.033659	153.584910	240.311368	130.055060
402.501646	287.529872	1251.642656	169.045807	153.566092	240.343893	130.067374
402.873087	288.897789	1250.713328	169.056206	153.543331	240.383968	130.079414
402.786634	290.251975	1249.769019	169.066605	153.520569	240.424042	130.091455
403.192630	291.570330	1248.790900	169.077333	153.502798	240.463761	130.090248
403.313855	292.836134	1247.770527	169.088061	153.485027	240.503479	130.089042
403.455135	294.095010	1247.053015	169.101499	153.466832	240.540638	130.069549
403.703739	295.252612	1246.214124	169.114938	153.448638	240.577796	130.050056
403.627864	296.421184	1245.538949	169.132202	153.422525	240.616004	130.022983
403.532550	297.552330	1244.804207	169.149465	153.396411	240.654212	129.995910
403.589215	298.254346	1244.308662	169.181008	153.366758	240.696953	129.976683
403.553659	298.972795	1243.849205	169.212551	153.337105	240.739695	129.957456
403.456061	298.761921	1244.054676	169.265281	153.314293	240.781558	129.950595
403.354744	298.615371	1244.316982	169.318011	153.291482	240.823421	129.943734
403.256727	297.611548	1245.082253	169.377297	153.278337	240.853940	129.940702
403.195884	296.685659	1245.904027	169.436582	153.265192	240.884459	129.937670
403.026113	295.687815	1246.753062	169.480338	153.255819	240.898556	129.922331
403.019625	294.683208	1247.611334	169.524093	153.246447	240.912653	129.906991
402.885743	294.191379	1248.070933	169.541642	153.234081	240.912622	129.867167
402.689567	293.608098	1248.464805	169.559190	153.221716	240.912591	129.827342
402.562234	293.506866	1248.579577	169.555995	153.201629	240.901805	129.768401
402.213580	293.400156	1248.694922	169.552800	153.181542	240.891019	129.709460
401.952520	293.255593	1248.852344	169.542918	153.151860	240.871983	129.652540
401.768575	293.054140	1248.979440	169.533036	153.122178	240.852946	129.595619
401.361610	292.945668	1249.224788	169.522832	153.088318	240.833998	129.559372
401.189948	292.738522	1249.349031	169.512629	153.054459	240.815050	129.523125
401.291492	293.123879	1249.078594	169.499849	153.028040	240.809052	129.509920
401.208070	293.431402	1248.730324	169.487069	153.001621	240.803054	129.496714
401.070023	294.265514	1247.654091	169.471114	152.991391	240.813169	129.497836
401.038438	295.216887	1246.716671	169.455160	152.981161	240.823283	129.498958
401.025087	296.106859	1245.650385	169.438518	152.983619	240.834439	129.502709
400.907187	297.053444	1244.649856	169.421875	152.986078	240.845594	129.506460
400.964309	297.172504	1244.376917	169.410455	152.985746	240.839909	129.503272
401.027892	297.308148	1244.123163	169.399034	152.985413	240.834224	129.500084
400.924021	296.652023	1244.757528	169.400217	152.973182	240.816715	129.491724
400.986913	296.000446	1245.409979	169.401399	152.960950	240.799206	129.483363
401.061697	295.320817	1246.007214	169.413657	152.948598	240.792969	129.477716
400.993132	294.662394	1246.638792	169.425914	152.936247	240.786732	129.472069
401.116202	294.593412	1246.628659	169.438089	152.939341	240.798732	129.471811
401.142617	294.532191	1246.621199	169.450263	152.942436	240.810731	129.471552
401.210212	294.589115	1246.364330	169.452032	152.959238	240.819305	129.479991
401.448451	294.597609	1246.040494	169.453802	152.976040	240.827879	129.488430
401.296697	294.224626	1246.185056	169.441257	152.997146	240.812023	129.510976
401.277202	293.890581	1246.384039	169.428712	153.018251	240.796166	129.533521
401.087957	292.949948	1246.855401	169.409604	153.044583	240.762514	129.563653
400.945785	292.193503	1247.515422	169.390496	153.070915	240.728862	129.593784
400.961355	291.220044	1248.288256	169.380607	153.107612	240.699653	129.612945
400.914480	290.248113	1249.072696	169.370719	153.144310	240.670445	129.632105
400.883543	289.393491	1249.751574	169.372709	153.182738	240.655224	129.631039
400.962694	288.531049	1250.384246	169.374699	153.221167	240.640003	129.629972
401.121108	288.075042	1250.708422	169.372401	153.245360	240.629969	129.620818
400.984867	287.711930	1251.099841	169.370102	153.269552	240.619934	129.611665
401.084490	287.808861	1251.092475	169.353868	153.279597	240.608683	129.614907
401.043774	287.868084	1250.999483	169.337634	153.289641	240.597433	129.618149
401.035005	287.994932	1250.832625	169.326385	153.300203	240.594238	129.644371
400.936719	288.196224	1250.732036	169.315135	153.310764	240.591044	129.670593
400.960794	287.792003	1250.896587	169.330895	153.328980	240.602587	129.711526
401.044853	287.467832	1251.141045	169.346655	153.347196	240.614131	129.752459
400.787084	286.718004	1251.710148	169.374133	153.365720	240.626219	129.783991
401.071447	286.038645	1252.299638	169.401611	153.384244	240.638306	129.815523
401.041343	285.548671	1252.851977	169.411668	153.397177	240.635754	129.822796
400.763384	285.058252	1253.410008	169.421725	153.410109	240.633202	129.830069
400.839482	284.880446	1253.621633	169.416019	153.423628	240.623793	129.827862
400.664235	284.691761	1253.844688	169.410312	153.437146	240.614385	129.825655
400.799166	284.516280	1253.979917	169.408332	153.455772	240.610476	129.837028
400.769448	284.349897	1254.134237	169.406352	153.474398	240.606567	129.848402
400.617122	283.710625	1254.646636	169.412855	153.492651	240.599857	129.872925
400.794288	283.127222	1255.147945	169.419358	153.510903	240.593146	129.897449
400.749288	282.159742	1255.939033	169.420786	153.526981	240.571872	129.916753
400.725751	281.154097	1256.700692	169.422213	153.543059	240.550597	129.936056
400.765821	280.736833	1256.921760	169.405128	153.562878	240.526679	129.943035
400.776633	280.298657	1257.152801	169.388043	153.582697	240.502761	129.950015
400.834876	280.969727	1256.511344	169.361049	153.604333	240.497708	129.956431
400.754633	281.491221	1255.695439	169.334055	153.625969	240.492654	129.962847
400.876678	282.515835	1254.735784	169.318349	153.636087	240.507773	129.980498
400.885436	283.553410	1253.760791	169.302643	153.646205	240.522892	129.998150
401.077826	284.355892	1253.052588	169.298746	153.642910	240.541828	130.022521
401.125696	285.228807	1252.408393	169.294850	153.639615	240.560765	130.046893
401.136113	285.638119	1251.922119	169.293272	153.641176	240.572899	130.062871
401.154042	286.112316	1251.483748	169.291694	153.642738	240.585032	130.078850
401.249789	285.838006	1251.541819	169.303211	153.658150	240.592921	130.081674
401.246108	285.609855	1251.626638	169.314727	153.673562	240.600809	130.084498
401.265545	284.421960	1252.615147	169.350132	153.689097	240.604833	130.081348
401.297020	283.257196	1253.633125	169.385537	153.704631	240.608856	130.078199
401.247771	281.325333	1255.299170	169.429381	153.706763	240.599587	130.072038
401.312415	279.472807	1257.038702	169.473226	153.708895	240.590319	130.065877
401.198769	277.804424	1258.638049	169.500080	153.696767	240.567732	130.058367
401.013528	276.092490	1260.195985	169.526935	153.684638	240.545144	130.050857
401.048133	275.511883	1260.826030	169.525882	153.666882	240.524860	130.046836
400.963083	274.972000	1261.512121	169.524829	153.649126	240.504577	130.042816
400.746085	275.358412	1261.157854	169.503127	153.638019	240.493111	130.038448
400.654942	275.801004	1260.894216	169.481426	153.626912	240.481645	130.034080
400.605114	276.394802	1260.326800	169.455143	153.625309	240.472096	130.022852
400.595057	276.997417	1259.783723	169.428859	153.623706	240.462547	130.011624
400.556630	277.276521	1259.478788	169.414084	153.625080	240.456114	130.000399
400.459822	277.570266	1259.178123	169.399308	153.626454	240.449680	129.989173
400.504222	277.561876	1259.159025	169.405238	153.629732	240.455281	129.987511
400.431474	277.540693	1259.127932	169.411167	153.633009	240.460882	129.985849
400.475054	277.220565	1259.202124	169.432238	153.640430	240.475414	129.984371
400.514225	276.972255	1259.347303	169.453308	153.647852	240.489946	129.982894
400.621905	276.719353	1259.539506	169.468810	153.652934	240.497407	129.963545
400.653169	276.451741	1259.710106	169.484311	153.658017	240.504868	129.944197
400.657935	276.467835	1259.667853	169.477791	153.650419	240.496853	129.911604
400.657695	276.576636	1259.704672	169.471272	153.642821	240.488839	129.879011
400.469976	276.919668	1259.446895	169.446698	153.622330	240.470883	129.854388
400.234758	277.312172	1259.241596	169.422124	153.601840	240.452926	129.829764
400.120942	277.937837	1258.809698	169.389588	153.578353	240.434393	129.822391
400.000543	278.503309	1258.322729	169.357053	153.554865	240.415860	129.815017
399.904040	279.516714	1257.559575	169.323319	153.535202	240.407536	129.821562
399.763313	280.487405	1256.739795	169.289585	153.515539	240.399212	129.828106
399.741944	281.644609	1255.722173	169.266232	153.500020	240.406677	129.839640
399.787637	282.813655	1254.716004	169.242879	153.484501	240.414143	129.851173
399.861398	283.556753	1254.142793	169.237264	153.472999	240.426327	129.855339
399.971549	284.283253	1253.553382	169.231650	153.461497	240.438511	129.859506
399.917009	284.101147	1253.647279	169.235837	153.452820	240.437354	129.850605
400.022471	284.057482	1253.855709	169.240023	153.444143	240.436197	129.841704
400.111053	283.401439	1254.377329	169.241464	153.434092	240.418753	129.824134
400.269689	282.878101	1255.026937	169.242905	153.424041	240.401309	129.806565
400.174138	282.299935	1255.508786	169.239780	153.410353	240.380954	129.786947
400.146157	281.797536	1256.057133	169.236654	153.396664	240.360600	129.767329
400.102692	281.396935	1256.451742	169.233923	153.381401	240.344141	129.746870
400.198281	281.060168	1256.904074	169.231191	153.366138	240.327683	129.726411
400.267647	280.686576	1257.213723	169.223124	153.350842	240.307082	129.700578
400.246797	280.319252	1257.554901	169.215057	153.335546	240.286480	129.674746
400.104063	280.130071	1257.647789	169.194141	153.321373	240.259165	129.641377
399.976103	279.996244	1257.797285	169.173225	153.307201	240.231849	129.608008
399.715404	279.859094	1257.729483	169.154480	153.298174	240.210385	129.573723
399.710719	279.832558	1257.725049	169.135735	153.289146	240.188920	129.539438
399.624870	279.635510	1257.905384	169.137465	153.286309	240.183463	129.516432
399.517355	279.255824	1257.928483	169.139194	153.283471	240.178005	129.493426
399.512408	279.161250	1258.013186	169.146234	153.281449	240.181418	129.489622
399.583612	279.051655	1258.101763	169.153274	153.279427	240.184831	129.485818
399.524148	279.371529	1257.692448	169.138956	153.273017	240.181628	129.496886
399.482635	279.764591	1257.371950	169.124639	153.266607	240.178425	129.507954
399.340961	280.312040	1257.014351	169.094613	153.254124	240.162398	129.518713
399.271354	280.795953	1256.595363	169.064587	153.241642	240.146371	129.529471
399.271147	280.889083	1256.660487	169.041608	153.225624	240.123830	129.527174
399.220829	281.026091	1256.756447	169.018629	153.209606	240.101289	129.524876
399.165086	280.710086	1257.067428	169.007694	153.197306	240.080809	129.512692
399.393389	280.434890	1257.408757	168.996758	153.185005	240.060330	129.500508
399.380284	280.164892	1257.797706	168.989677	153.180865	240.043706	129.491268
399.455275	279.803994	1258.088324	168.982595	153.176726	240.027083	129.482027
399.490353	279.483150	1258.413668	168.975586	153.176807	240.011612	129.481398
399.495964	279.186731	1258.760537	168.968578	153.176889	239.996141	129.480769
399.557022	278.788988	1259.179138	168.967078	153.175946	239.983781	129.486307
399.597886	278.349513	1259.559444	168.965578	153.175002	239.971421	129.491846
399.667661	277.753180	1260.155131	168.977252	153.173795	239.966077	129.499910
399.654282	277.070238	1260.683449	168.988927	153.172588	239.960734	129.507975
399.621816	276.313900	1261.343993	169.007440	153.175138	239.959213	129.513175
399.768715	275.592273	1262.015163	169.025954	153.177689	239.957693	129.518375
399.788919	275.434231	1262.056703	169.027659	153.186091	239.957307	129.518133
399.808060	275.320995	1262.158312	169.029363	153.194494	239.956920	129.517892
399.635503	276.187250	1261.204462	169.003844	153.206412	239.960167	129.515783
399.523165	277.101520	1260.258651	168.978325	153.218330	239.963414	129.513674
399.481210	278.089923	1259.240968	168.950457	153.225767	239.966600	129.511605
399.437920	279.160527	1258.291706	168.922588	153.233204	239.969787	129.509535
399.387669	279.147772	1258.402813	168.919363	153.228286	239.964836	129.506839
399.459559	279.094660	1258.481480	168.916139	153.223368	239.959885	129.504143
399.441880	278.145247	1259.521207	168.931266	153.207791	239.945551	129.502779
399.412084	277.188274	1260.529683	168.946393	153.192215	239.931218	129.501415
399.478282	276.408056	1261.378346	168.950738	153.179460	239.911853	129.510161
399.440881	275.592099	1262.194771	168.955083	153.166705	239.892488	129.518907
399.191146	275.700776	1261.976660	168.926722	153.177521	239.872795	129.553271
399.080798	275.855628	1261.797736	168.898361	153.188337	239.853102	129.587635
398.901120	276.650062	1260.665207	168.846970	153.230253	239.837307	129.647955
398.694859	277.420061	1259.507928	168.795580	153.272170	239.821511	129.708275
398.667033	278.162185	1258.411713	168.752719	153.321767	239.812688	129.766466
398.501949	278.855989	1257.279134	168.709859	153.371365	239.803864	129.824657
398.487378	279.146221	1256.782401	168.691952	153.401342	239.801752	129.856716
398.462440	279.383209	1256.209490	168.674045	153.431319	239.799640	129.888775
398.538097	279.428445	1256.218717	168.673163	153.438729	239.800717	129.897230
398.541032	279.482459	1256.218609	168.672281	153.446140	239.801794	129.905686
398.562878	279.443503	1256.367120	168.675641	153.436235	239.801876	129.896129
398.578086	279.383990	1256.505028	168.679001	153.426330	239.801958	129.886572
398.589943	279.376809	1256.681128	168.680601	153.396502	239.797821	129.849655
398.585155	279.458153	1256.951715	168.682201	153.366674	239.793683	129.812738
398.615886	279.553194	1257.295237	168.682246	153.324389	239.785511	129.746944
398.568801	279.604924	1257.576767	168.682290	153.282104	239.777340	129.681150
398.627207	279.648350	1257.811029	168.684218	153.258005	239.772700	129.618023
398.677341	279.706666	1258.047684	168.686146	153.233906	239.768060	129.554897
398.759470	279.808374	1257.915561	168.693156	153.246454	239.778220	129.530879
398.903349	279.859779	1257.721836	168.700166	153.259002	239.788381	129.506862
