fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
1805.589122	-467.911058	2809.586003	191.034097	198.616711	238.720730	157.913261
1814.547596	-469.439288	2815.105861	191.071052	198.591384	238.656855	157.887385
1816.554860	-470.077623	2816.864738	191.098604	198.570434	238.653821	157.865533
1818.921048	-470.457486	2818.242752	191.126156	198.549485	238.650786	157.843682
1819.164019	-470.372202	2818.380114	191.131752	198.539960	238.651237	157.838586
1819.155373	-470.305885	2818.825475	191.137347	198.530436	238.651687	157.833490
1819.663652	-470.001409	2819.235547	191.122872	198.545556	238.637952	157.830531
1819.997741	-469.708485	2819.881620	191.108397	198.560676	238.624218	157.827572
1818.317064	-469.206097	2819.746075	191.077165	198.587847	238.618524	157.810579
1816.838064	-468.459496	2819.444005	191.045934	198.615018	238.612831	157.793587
1812.994038	-467.279826	2817.989454	191.012899	198.621963	238.622950	157.774010
1809.236810	-466.273164	2816.388105	190.979864	198.628909	238.633069	157.754433
1805.782903	-465.218637	2814.358752	190.964474	198.612620	238.651005	157.749419
1802.490318	-464.195125	2812.116749	190.949083	198.596331	238.668941	157.744405
1797.998417	-463.060814	2809.485130	190.949229	198.588859	238.712491	157.749404
1793.646696	-462.089566	2806.650556	190.949374	198.581386	238.756041	157.754403
1785.840190	-460.443373	2802.047087	190.954001	198.597463	238.845408	157.752381
1778.118485	-458.925821	2797.386801	190.958628	198.613540	238.934775	157.750359
1770.575626	-457.617551	2792.880519	190.972349	198.630950	239.032276	157.733177
1762.783399	-456.286603	2788.795415	190.986070	198.648360	239.129777	157.715994
1761.266967	-456.079197	2787.839589	191.009818	198.639340	239.166751	157.693552
1759.582292	-456.012435	2787.084020	191.033566	198.630320	239.203726	157.671110
1765.721070	-457.064742	2790.683583	191.048398	198.596962	239.144063	157.661772
1771.611468	-458.228000	2794.640115	191.063230	198.563603	239.084401	157.652434
1782.567110	-459.962593	2800.638993	191.059381	198.540513	238.961221	157.672841
1793.123431	-461.737801	2807.259352	191.055533	198.517424	238.838040	157.693249
1800.016316	-462.914704	2811.220953	191.053201	198.520962	238.761154	157.743150
1807.239863	-463.987830	2814.865375	191.050869	198.524501	238.684267	157.793052
1805.319590	-463.717982	2813.429284	191.068261	198.531185	238.717619	157.836152
1803.482928	-463.432551	2811.911311	191.085652	198.537869	238.750971	157.879251
1800.215260	-462.880547	2809.622958	191.104901	198.531051	238.801302	157.878204
1796.809986	-462.250689	2807.531940	191.124150	198.524232	238.851633	157.877157
1798.446624	-462.354524	2808.885424	191.113582	198.510867	238.823221	157.845983
1800.118192	-462.387216	2810.227978	191.103013	198.497503	238.794810	157.814809
1800.640921	-462.217621	2810.841196	191.066437	198.489001	238.755775	157.792405
1800.891440	-462.071432	2811.766394	191.029860	198.480500	238.716739	157.770002
1796.399162	-461.097111	2808.959019	191.012331	198.488628	238.750848	157.766003
1791.740822	-460.185083	2806.358400	190.994801	198.496756	238.784957	157.762003
1791.935689	-460.321807	2806.970729	191.026599	198.523026	238.815671	157.761116
1792.402383	-460.191605	2807.309730	191.058396	198.549296	238.846385	157.760229
1804.808515	-462.467895	2815.334006	191.116897	198.564502	238.772218	157.755421
1817.271298	-464.559408	2823.480201	191.175399	198.579708	238.698050	157.750613
1832.379926	-467.089139	2832.794310	191.221301	198.546009	238.575459	157.745654
1847.620567	-469.671098	2842.171473	191.267203	198.512309	238.452868	157.740694
1850.796143	-470.182783	2843.986523	191.285163	198.443722	238.419612	157.730333
1854.146587	-470.484489	2845.655058	191.303123	198.375134	238.386356	157.719972
1842.521142	-468.624135	2838.375716	191.298640	198.326138	238.488781	157.696426
1831.071422	-466.552572	2831.045210	191.294157	198.277141	238.591205	157.672879
1813.579530	-463.536063	2820.642806	191.286235	198.269186	238.760928	157.647435
1796.289007	-460.848984	2810.212486	191.278313	198.261231	238.930650	157.621991
1780.742217	-458.136609	2800.530482	191.288033	198.278170	239.106684	157.614100
1764.923808	-455.629500	2791.396832	191.297752	198.295110	239.282718	157.606210
1750.989915	-453.333749	2782.441077	191.315478	198.325698	239.454559	157.617989
1812.813626	-451.770811	2817.968303	191.333205	198.356286	239.626400	157.629769
1812.740964	-461.906703	2817.869638	191.317998	198.394270	239.746122	157.645881
1812.586991	-461.809620	2818.036625	191.302791	198.432253	239.865845	157.661993
1812.482617	-461.851397	2818.057887	191.234342	198.459183	239.855998	157.670119
1812.293647	-461.998501	2818.154946	191.165894	198.486114	239.846152	157.678245
1812.519874	-461.837974	2817.785668	191.072507	198.488132	239.703215	157.682562
1812.406751	-461.728755	2817.834666	190.979120	198.490151	239.560279	157.686878
1812.103153	-461.592668	2817.632365	190.905083	198.477838	239.371282	157.696713
1811.829863	-461.675800	2817.340196	190.831046	198.465524	239.182284	157.706547
1749.792833	-450.909119	2783.273340	190.800571	198.460455	239.033131	157.719060
1761.142139	-452.598405	2790.153298	190.770096	198.455385	238.883978	157.731573
1769.791023	-454.167869	2795.336245	190.786410	198.459519	238.808371	157.738794
1778.554952	-455.552790	2800.486605	190.802724	198.463653	238.732764	157.746015
1782.143431	-456.564462	2802.756850	190.854244	198.454031	238.736886	157.748500
1785.960401	-457.427720	2804.815367	190.905764	198.444408	238.741007	157.750985
1786.728606	-457.907221	2804.664883	190.963266	198.406752	238.776197	157.750865
1787.371675	-458.345826	2804.669202	191.020767	198.369095	238.811386	157.750745
1790.056459	-459.135221	2805.887850	191.055177	198.304378	238.798322	157.745598
1792.857386	-459.815312	2807.009336	191.089587	198.239660	238.785257	157.740451
1796.504187	-460.489246	2809.013291	191.094743	198.152028	238.730062	157.730531
1800.410125	-461.179918	2810.746993	191.099899	198.064395	238.674867	157.720611
1798.691756	-460.825535	2809.337206	191.081971	197.990296	238.659063	157.713378
1797.047436	-460.427256	2807.863150	191.064043	197.916198	238.643260	157.706145
1789.313426	-459.033596	2803.007821	191.033851	197.920390	238.697362	157.712172
1781.461127	-457.545748	2798.382128	191.003658	197.924582	238.751464	157.718199
1777.037445	-456.633022	2796.240015	190.981247	198.024830	238.799055	157.747985
1772.571389	-455.602664	2794.218483	190.958835	198.125079	238.846646	157.777770
1778.593795	-456.706087	2798.479540	190.955049	198.257039	238.807046	157.843646
1784.672084	-457.415640	2802.796173	190.951262	198.389000	238.767446	157.909522
1795.781762	-459.129405	2809.391976	190.956578	198.473544	238.672010	158.004883
1806.880500	-460.790066	2816.124046	190.961893	198.558089	238.576575	158.100244
1814.304158	-461.670364	2819.756424	190.965195	198.578573	238.505923	158.183727
1821.856409	-462.818252	2823.264345	190.968497	198.599058	238.435270	158.267211
1823.766414	-463.172336	2823.857778	190.968667	198.589215	238.412582	158.306412
1825.600712	-463.622588	2824.526399	190.968837	198.579372	238.389894	158.345614
1825.196618	-463.658421	2823.795492	190.968114	198.568500	238.392463	158.350685
1824.738054	-463.623303	2823.146733	190.967391	198.557628	238.395033	158.355757
1824.020072	-463.761408	2822.528802	190.966459	198.553951	238.401633	158.351663
1823.467681	-463.678200	2821.742415	190.965526	198.550273	238.408232	158.347569
1822.934800	-463.905129	2821.555552	190.964123	198.551756	238.411984	158.346001
1822.765320	-464.251092	2820.874189	190.962719	198.553239	238.415735	158.344434
1822.468532	-464.224708	2820.585738	190.961339	198.555101	238.419053	158.341008
1822.057608	-464.484381	2820.369130	190.959959	198.556963	238.422371	158.337582
1821.800311	-464.562765	2819.904628	190.961702	198.553127	238.429029	158.317853
1821.376728	-464.713445	2819.663597	190.963445	198.549292	238.435687	158.298123
1821.509842	-465.207308	2819.880796	190.973747	198.534271	238.442489	158.254623
1821.668914	-465.413923	2820.144826	190.984048	198.519251	238.449291	158.211122
1823.539979	-465.820606	2821.520481	191.003540	198.498671	238.446027	158.159651
1825.389775	-466.515159	2822.859736	191.023031	198.478091	238.442763	158.108180
1827.769605	-467.255925	2824.510474	191.037904	198.464826	238.430194	158.075667
1830.348314	-467.684061	2825.983829	191.052778	198.451560	238.417624	158.043155
1828.484027	-467.494363	2824.622407	191.038944	198.436207	238.421293	158.042720
1826.717112	-467.059578	2823.197960	191.025110	198.420855	238.424962	158.042285
1816.390625	-465.076631	2815.785434	190.973624	198.384436	238.478173	158.066110
1805.965656	-463.038264	2808.649411	190.922138	198.348017	238.531385	158.089935
1791.438917	-460.310386	2798.968044	190.862488	198.313571	238.620489	158.116367
1777.044159	-457.456657	2789.370498	190.802837	198.279125	238.709593	158.142798
1771.875944	-456.680494	2786.258570	190.774882	198.297201	238.742519	158.151449
1766.769505	-455.865089	2783.038415	190.746927	198.315277	238.775444	158.160099
1777.318859	-457.873704	2790.469159	190.751549	198.390104	238.685539	158.149868
1787.910505	-459.821827	2798.001375	190.756172	198.464932	238.595633	158.139638
1804.537842	-462.707763	2809.026256	190.772503	198.534319	238.453902	158.130400
1821.084605	-465.822032	2820.368450	190.788834	198.603706	238.312172	158.121163
1830.948865	-467.779773	2826.391268	190.807048	198.608718	238.227827	158.134339
1840.774756	-469.713697	2832.537047	190.825261	198.613730	238.143482	158.147516
1841.683126	-470.069941	2832.160798	190.830110	198.566115	238.126787	158.183965
1842.671488	-470.517461	2831.679705	190.834959	198.518501	238.110092	158.220414
1839.098364	-469.933402	2828.563528	190.811977	198.474578	238.115006	158.259814
1835.590784	-469.526443	2825.338629	190.788995	198.430655	238.119920	158.299213
1831.557513	-469.007404	2822.733986	190.752916	198.417936	238.123291	158.325750
1827.781708	-468.255466	2819.861209	190.716836	198.405217	238.126662	158.352286
1825.047719	-468.162966	2818.187080	190.689123	198.408227	238.128487	158.369866
1822.356324	-467.693716	2816.536277	190.661410	198.411238	238.130313	158.387446
1820.338998	-467.402259	2815.025174	190.643865	198.414147	238.135846	158.403661
1818.390985	-466.991725	2813.463818	190.626320	198.417057	238.141380	158.419877
1817.761602	-466.882903	2813.003045	190.622984	198.427273	238.146759	158.432706
1817.032128	-466.962529	2812.622257	190.619647	198.437490	238.152138	158.445535
1820.398236	-467.626109	2814.519184	190.639335	198.461983	238.142269	158.449962
1823.703411	-468.092440	2816.546987	190.659023	198.486475	238.132400	158.454389
1830.010252	-469.465940	2820.724025	190.688815	198.512748	238.100478	158.448143
1836.684038	-470.623813	2824.520311	190.718607	198.539021	238.068556	158.441897
1842.781697	-471.613070	2828.328190	190.735281	198.556525	238.027597	158.428483
1848.788582	-472.664057	2832.244836	190.751955	198.574030	237.986639	158.415070
1850.628676	-472.821150	2833.404290	190.743697	198.573015	237.961945	158.400361
1852.508104	-473.115741	2834.486558	190.735439	198.572000	237.937252	158.385653
1848.159979	-472.471873	2832.024441	190.701867	198.539257	237.943302	158.363402
1844.037237	-471.488359	2829.364176	190.668294	198.506514	237.949352	158.341151
1837.424924	-470.656221	2825.639347	190.625826	198.468066	237.969628	158.302572
1830.672862	-469.633648	2822.189420	190.583357	198.429617	237.989904	158.263993
1827.496159	-469.170635	2820.938652	190.560491	198.425341	238.000926	158.221491
1824.397730	-468.596808	2819.643373	190.537625	198.421064	238.011948	158.178990
1824.268442	-468.811009	2820.284441	190.548144	198.436155	238.024666	158.157314
1824.127118	-468.899923	2820.969639	190.558663	198.451245	238.037384	158.135639
1822.378460	-468.729996	2819.890384	190.587290	198.457652	238.081134	158.146936
1820.717664	-468.347931	2818.744232	190.615917	198.464060	238.124883	158.158234
1814.271877	-466.994977	2814.734787	190.633259	198.475335	238.206366	158.191461
1808.115745	-465.712388	2810.412112	190.650601	198.486610	238.287849	158.224688
1796.537873	-463.466547	2803.431235	190.640108	198.519511	238.403075	158.256921
1785.141485	-461.243735	2796.338838	190.629616	198.552413	238.518301	158.289154
1770.343786	-458.224466	2787.045677	190.601127	198.593710	238.658655	158.307764
1755.360168	-455.393452	2778.179216	190.572638	198.635007	238.799010	158.326374
1744.299019	-465.288375	2771.333035	190.547946	198.660022	238.901033	158.329907
1737.291629	-465.637444	2824.615603	190.523254	198.685038	239.003057	158.333439
1738.966802	-465.775244	2824.625886	190.512902	198.682965	238.973049	158.321904
1740.810905	-465.845338	2824.484576	190.502551	198.680891	238.943041	158.310369
1752.003527	-454.319015	2776.999590	190.505160	198.666712	238.783479	158.293077
1766.999025	-457.128614	2786.457335	190.507770	198.652533	238.623917	158.275786
1784.161661	-460.333472	2797.099543	190.521499	198.644353	238.453939	158.271510
1801.561342	-463.578420	2807.736786	190.535228	198.636173	238.283961	158.267234
1810.723039	-465.244364	2813.022076	190.558726	198.623872	238.206955	158.286355
1820.049039	-467.141508	2818.146959	190.582223	198.611570	238.129949	158.305475
1820.930266	-467.639030	2817.794059	190.615340	198.584334	238.143657	158.341669
1821.822074	-468.045231	2817.505050	190.648456	198.557099	238.157364	158.377863
1821.604423	-468.671631	2816.787395	190.695368	198.544608	238.196746	158.413468
1821.718031	-469.106775	2815.694567	190.742280	198.532118	238.236127	158.449073
1824.870707	-470.361852	2817.683619	190.793664	198.570327	238.257064	158.466407
1828.060488	-471.345868	2819.716864	190.845048	198.608536	238.278001	158.483742
1831.716029	-472.325345	2822.755169	190.871528	198.688845	238.281777	158.477883
1835.368735	-473.486607	2825.796974	190.898007	198.769153	238.285554	158.472025
1836.526234	-473.765556	2827.609292	190.889892	198.855103	238.285482	158.455911
1837.719466	-473.993793	2829.427464	190.881776	198.941052	238.285411	158.439797
1836.859259	-473.685447	2829.764382	190.857545	198.997199	238.284689	158.431150
1835.989719	-473.425384	2830.083226	190.833314	199.053346	238.283967	158.422503
1833.690265	-472.698445	2828.680527	190.803519	199.056147	238.281785	158.425035
1831.357391	-472.079881	2827.294363	190.773723	199.058947	238.279603	158.427566
1828.063249	-471.127050	2824.719253	190.739564	199.011658	238.272344	158.435191
1824.622227	-470.075160	2822.401309	190.705404	198.964369	238.265085	158.442816
1821.675034	-469.471173	2820.108221	190.674195	198.895610	238.250312	158.451323
1819.122369	-468.239245	2817.496264	190.642986	198.826852	238.235539	158.459831
1817.430874	-467.804312	2816.037887	190.624407	198.768675	238.222509	158.464199
1815.664563	-467.471300	2814.652106	190.605828	198.710498	238.209479	158.468568
1814.302442	-467.100402	2813.614532	190.599767	198.666558	238.207823	158.464174
1813.024278	-466.745231	2812.473432	190.593705	198.622618	238.206167	158.459781
1810.602683	-466.499798	2810.779073	190.586823	198.573730	238.213482	158.450005
1808.307716	-465.883849	2809.027867	190.579940	198.524842	238.220798	158.440230
1805.213278	-465.243447	2806.546109	190.565539	198.472288	238.229522	158.434585
1801.841406	-464.812279	2804.346933	190.551138	198.419733	238.238247	158.428940
1800.717089	-464.640576	2803.121988	190.544336	198.384952	238.236853	158.433350
1799.421536	-464.645966	2802.112819	190.537534	198.350171	238.235460	158.437759
1803.389043	-465.401374	2804.176645	190.555056	198.342597	238.208766	158.452601
1807.176216	-466.303182	2806.452129	190.572579	198.335024	238.182073	158.467443
1815.125944	-467.849588	2810.828723	190.601967	198.348891	238.130571	158.495391
1822.952713	-469.281608	2815.440752	190.631354	198.362757	238.079070	158.523340
1828.270300	-470.527529	2818.931252	190.639191	198.394224	238.035389	158.560581
1833.928049	-471.380696	2822.128848	190.647028	198.425691	237.991708	158.597822
1832.783418	-471.219569	2821.618281	190.622356	198.469033	237.989565	158.620085
1831.658148	-470.981107	2821.096227	190.597684	198.512376	237.987422	158.642348
1826.710055	-470.330921	2818.653520	190.560830	198.542165	238.010087	158.631536
1822.160044	-469.156757	2815.896549	190.523976	198.571954	238.032752	158.620724
1818.689089	-468.772676	2814.492098	190.487415	198.562503	238.031311	158.595423
1815.490498	-468.211612	2812.806566	190.450854	198.553052	238.029871	158.570122
1814.808640	-467.902019	2811.897258	190.404646	198.515704	237.989594	158.560730
1813.976389	-467.384373	2811.221425	190.358438	198.478356	237.949317	158.551338
1811.952877	-467.063707	2809.578673	190.296278	198.454679	237.909746	158.559777
1810.142402	-466.381017	2807.773621	190.234118	198.431003	237.870175	158.568217
1803.429462	-464.870094	2803.502844	190.172861	198.444343	237.888883	158.575126
1796.663322	-463.576896	2799.268768	190.111604	198.457684	237.907591	158.582035
1788.222336	-462.342105	2794.223798	190.090739	198.483323	237.982788	158.577002
1779.811016	-461.013686	2789.227379	190.069874	198.508962	238.057985	158.571969
1780.462128	-461.525116	2789.708234	190.126242	198.507693	238.101867	158.552358
1781.163024	-462.020369	2790.154546	190.182611	198.506424	238.145748	158.532747
1794.202657	-465.175908	2798.401125	190.304069	198.468700	238.109175	158.497910
1807.455814	-468.014648	2806.645512	190.425527	198.430975	238.072601	158.463072
1821.178942	-471.230004	2815.219175	190.541221	198.378820	238.022748	158.429843
1835.221026	-474.182775	2823.662783	190.656915	198.326666	237.972895	158.396614
1838.319429	-475.190827	2825.607478	190.709730	198.296122	237.980381	158.389983
1841.547574	-476.155831	2827.436328	190.762545	198.265578	237.987867	158.383353
